Station ID,Station Name,Station Uncertainty (m)
00001,Outer Wood Island,0.270
00010,North Head,0.319
01003,Jamestown,0.119
01008,"Charlottetown, NL",0.106
01009,Saltons Brook,0.183
01010,Newman Sound,0.110
01015,Salvage,0.101
01018,Glovertown South,0.131
00102,Macdonald Point,0.101
01025,Dover - Wellington,0.133
00103,Cambridge Narrows,0.102
01030,Valleyfield,0.121
01035,Musgrave Harbour,0.125
01040,Carmanville,0.134
01047,Joe Batts Arm,0.183
01048,Seldom,0.183
01049,Tilting Harbour,0.145
01050,Fogo,0.173
01052,Change Islands,0.138
01053,Farewell,0.131
01054,Dark Cove,0.127
01056,Dildo Run (Causeway),0.132
01058,Summerford,0.140
01060,Twillingate,0.160
01065,Bridgeport,0.158
01070,Lewisporte,0.182
00108,Upper Gagetown,0.137
01080,Botwood,0.139
01085,Exploits Island,0.125
01087,Leading Tickle,0.137
01095,Little Bay Arm,0.126
01097,Beachside,0.148
01098,Springdale,0.150
00011,West Quoddy Head,0.315
01101,Nippers Harbour,0.127
01102,Tilt Cove,0.130
01105,La Scie,0.127
01110,Baie Verte,0.134
01115,Seal Cove,0.125
01125,Hampden,0.137
01135,Sops Island,0.115
01150,Englee,0.137
01165,Locks Cove,0.151
01170,St Anthony,0.233
01180,Ship Cove,0.101
01181,Cooks Harbour,0.085
01182,Black Joke Cove,0.125
01185,Chateau Bay,0.130
01186,Henley Harbour,0.125
01190,Battle Harbour,0.171
01193,Mary's Harbour,0.218
01195,Port Marnham,0.142
01199,"Williams Harbour, South Labrador",0.266
00120,Fredericton,0.168
01200,"Denbigh Island, Labrador",0.144
01202,White Bear Arm,0.150
01205,Nevile Island,0.141
01210,Port Hope Simpson,0.148
01214,Norman Bay,0.153
01217,Punchbowl,0.155
00122,Newcastle Creek,0.122
01245,Cartwright,0.155
01247,Sandwich Bay (East Arm),0.189
01248,Paradise River,0.169
01263,Snooks Rocks,0.185
01267,Jordans Point,0.254
01280,Rigolet,0.197
01285,Caravalla Cove,0.125
01287,Long Point Island,0.069
00129,St Martins,0.442
01320,Cabot Point,0.105
01331,Mulligan Bay,0.079
01335,North West River,0.101
01345,Rabbit Island,0.088
01350,Terrington Basin,0.090
01365,Broomfield,0.259
01370,Emily Harbour,0.179
01374,Byron Bay (Copper Island),0.228
01376,"Jeanette Bay, Lab",0.282
01377,Mostyn Cove,0.183
01390,Makkovik,0.312
01397,Postville,0.204
01398,Jackos Point,0.216
00014,Lubec (South),0.276
00140,Herring Cove,0.485
01400,Turnavik Island,0.169
01405,Hopedale,0.195
01410,Shoal Tickle,0.201
01416,Davis Inlet,0.236
01420,House Harbour,0.247
01421,Nukasusutok Island,0.204
01422,John Hayes Harbour,0.358
01425,Ford Harbour,0.223
01430,Nain,0.225
01435,Young's Harbour,0.217
01450,Port Manvers,0.242
01452,Kiglapait Harbour,0.231
01458,Igloksoatalik Island,0.227
01465,Hebron,0.202
01470,Saglek Bay,0.170
01485,Brownell Point,0.167
01487,Eclipse Channel,0.190
01490,"Williams Harbour, North Labrador",0.316
01495,Cape Chidley,0.365
00015,Welshpool,0.347
00150,Cape Enrage,0.514
01520,Bay St. Lawrence,0.134
